conversion_id,click_id,campaign_id,campaign_name,conversion_method,country,city,isp,goal_id,goal_name,txn_id,device_id,p1,p2,p3,p4,p5,click_device,status,created,sale_amount,currency,payout,conv_request_ip,payout_in_campaign_currency,payout_in_user_currency,sale_amount_in_campaign_currency,sale_amount_in_user_currency,campaign_currency,created_date,created_time
65df11a378bcc048df19f507,65df11a378bcc048df19f506,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253853-1665668-2165901,,sIFtYfG1RTGdyXY6qRcB,,,,,,approved,"2023-12-08 00:00:00",3087.968,INR,138.959,,138.959,138.959,3087.968,3087.968,INR,2023-12-08,00:00:00
65df11af78bcc048df19f633,65df11af78bcc048df19f632,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253854-0841032-1700903,,LWNR1btuB8qYuqqAQgry,,,,,,approved,"2023-12-08 00:00:00",3290,INR,148.05,,148.05,148.05,3290,3290,INR,2023-12-08,00:00:00
65df11ce78bcc048df19f930,65df11ce78bcc048df19f92f,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253859-2382487-0861403,,513RMlSyQyP89MtkcvMe,,,,,,approved,"2023-12-08 00:00:00",4771,INR,214.695,,214.695,214.695,4771,4771,INR,2023-12-08,00:00:00
65df11db78bcc048df19fa7d,65df11db78bcc048df19fa7c,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253886-7592351-6414001,,sSKWpx1ky38Pkxk6cA9W,,,,,,approved,"2023-12-08 00:00:00",510,INR,22.95,,22.95,22.95,510,510,INR,2023-12-08,00:00:00
65df11db78bcc048df19fa8c,65df11db78bcc048df19fa8b,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253887-8593462-3056301,,NwUw4FrOVWCnBC9P0gVE,,,,,,approved,"2023-12-08 00:00:00",510,INR,22.95,,22.95,22.95,510,510,INR,2023-12-08,00:00:00
65df11dc78bcc048df19fa98,65df11dc78bcc048df19fa97,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253888-8031335-2601101,,T2oarfICgIGMak0Pk1kp,,,,,,approved,"2023-12-08 00:00:00",767,INR,34.515,,34.515,34.515,767,767,INR,2023-12-08,00:00:00
65df11ec78bcc048df19fc45,65df11ec78bcc048df19fc44,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253903-7425778-7807603,,3HNPnnge3ys2QP6i7znR,,,,,,approved,"2023-12-08 00:00:00",1430,INR,64.35,,64.35,64.35,1430,1430,INR,2023-12-08,00:00:00
65df11ed78bcc048df19fc63,65df11ed78bcc048df19fc62,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253904-6172305-0214003,,ecl9nxjP2VOr5Gp2m25T,,,,,,approved,"2023-12-08 00:00:00",1682,INR,75.69,,75.69,75.69,1682,1682,INR,2023-12-08,00:00:00
65df11ef78bcc048df19fc93,65df11ef78bcc048df19fc92,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253906-5197573-9988903,,cu9035uCy2J0CbXmSncp,,,,,,approved,"2023-12-08 00:00:00",1234,INR,55.53,,55.53,55.53,1234,1234,INR,2023-12-08,00:00:00
65e966b9ba8d8f68da3005fe,65e966b9ba8d8f68da3005fd,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253927-0659393-7608803,,RULl5A0MSWrv94J52TAe,,,,,,rejected,"2023-12-08 00:00:00",171,INR,0,,0,0,171,171,INR,2023-12-08,00:00:00
